"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1989","677","0.436","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1990","317","0.246","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1991","571","0.557","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1992","660","0.832","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1993","937","0.792","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1994","592","0.686","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1995","617","0.567","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1996","899","0.711","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1997","992","0.803","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1998","916","0.334","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
