ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1974,3125,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1975,5448,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1976,2383,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1977,3030,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1978,5060,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1979,2202,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1980,247,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1981,514,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1982,1352,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1983,2627,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1984,2036,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1985,5919,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1986,1064,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1987,2741,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1988,2411,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1989,1093,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1990,587,0.42
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1991,445,0.09
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1992,392,1
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1993,408,0.78
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1994,1004,0.98
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1995,316,0.5
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1996,547,0.66
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1997,2137,0.11
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1998,358,0.25
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,1999,957,0.25
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2000,146,0.62
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2001,2806,0.82
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2002,7893,0
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2003,7348,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2004,6880,0.01
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2005,2699,0.05
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2006,324,1
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2007,168,1
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2008,1320,0.1
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2009,1467,0.18
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2010,1318,0.12
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2011,1127,0.05
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2012,172,0.26
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2013,637,0.29
Lower Columbia River Chinook Salmon ESU,Coastal,Elochoman River,Chinook,Fall-run,2014,869,0.22
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1964,100,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1965,171,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1966,144,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1967,147,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1968,347,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1969,156,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1970,390,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1971,635,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1972,688,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1973,530,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1974,717,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1975,751,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1976,1192,-99
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1977,1590,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1978,2685,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1979,1206,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1980,185,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1981,246,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1982,422,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1983,927,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1984,242,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1985,812,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1986,901,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1987,1093,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1988,1003,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1989,805,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1990,287,0.65
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1991,188,0.94
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1992,4,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1993,40,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1994,47,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1995,29,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1996,351,0.48
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1997,12,0.64
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1998,93,0.41
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,1999,303,0.51
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2000,89,0.96
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2001,241,0.64
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2002,78,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2003,373,0.72
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2004,726,0.9
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2005,122,0.66
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2006,383,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2007,96,1
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2008,95,0.35
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2009,555,0.38
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2010,159,0.44
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2011,405,0.17
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2012,208,0.17
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2013,2033,0.09
Lower Columbia River Chinook Salmon ESU,Coastal,Grays and Chinook Rivers,Chinook,Fall-run,2014,729,0.44
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1992,16,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1993,6,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1994,25,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1995,8,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1996,13,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1997,24,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1998,34,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,1999,16,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2000,32,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2001,29,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2002,33,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2003,57,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2004,31,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2005,42,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2006,49,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2007,45,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Hood River,Chinook,Fall-run,2008,21,-99
