ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2006,427,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2007,237,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2008,379,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2009,596,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2010,426,0.887
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2011,870,0.951
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2012,566,0.959
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2013,1540,0.936
Lower Columbia River Chinook Salmon ESU,Cascade,Lewis River,Chinook,Fall-run,2014,942,0.909
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1964,3312,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1965,5707,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1966,4782,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1967,5487,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1968,2303,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1969,4260,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1970,9706,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1971,22758,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1972,21027,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1973,8390,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1974,7566,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1975,4766,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1976,3726,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1977,5837,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1978,3192,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1979,8253,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1980,2418,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1981,3991,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1982,3024,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1983,3654,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1984,2577,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1985,4300,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1986,2229,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1987,5930,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1988,7700,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1989,7220,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1990,2698,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1991,2567,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1992,2683,0.26
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1993,2218,0.06
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1994,2512,0.19
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1995,2231,0.13
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1996,1602,0.58
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1997,2710,0.72
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1998,2108,0.37
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1999,997,0.16
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2000,2363,0.1
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2001,4652,0.44
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2002,13514,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2003,10048,0.88
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2004,4466,0.7
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2005,2870,0.17
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2006,2944,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2007,1847,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2008,1828,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2009,2602,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2010,4488,0.706
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2011,3685,0.755
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2012,2725,0.714
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2013,4436,0.81
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1980,516,0.49
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1981,896,0.48
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1982,1825,0.5
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1983,3547,0.51
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1984,532,0.52
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1985,1596,0.53
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1986,539,0.49
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1987,6025,0.59
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1988,2850,0.69
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1989,2708,0.69
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1990,475,0.63
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1991,1889,0.85
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1992,796,0.47
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1993,798,0.71
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1994,3572,0.4
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1995,1321,0.51
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1996,494,0.54
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1997,595,0.23
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1998,353,0.6
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1999,575,0.69
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2000,370,0.58
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2001,3847,0.39
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2002,2544,0.05
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2003,3792,0.56
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2004,4611,0.02
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2005,2066,0.13
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2006,622,0.62
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2007,335,0.48
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2008,735,0.49
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2009,390,0.93
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2010,2778,0.07
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2011,1678,0.07
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2012,180,0.13
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2013,1033,0.2
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2014,656,0.08
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1981,3156,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1982,3655,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1983,2575,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1984,3323,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1985,2087,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1986,2845,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1987,9160,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1988,6958,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1989,8557,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1990,3516,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1991,2939,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1992,4185,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1993,5733,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1994,2420,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1995,4382,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1996,2119,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1997,8443,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1998,3251,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,1999,1890,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2000,363,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2001,3510,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2002,5463,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2003,3993,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2004,2524,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2005,3998,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2006,5359,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2007,178,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,2013,2489,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1964,2494,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1965,1465,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1966,1348,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1967,1562,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1968,2515,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1969,2548,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1970,4170,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1971,5729,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1972,6597,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1973,1043,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1974,1516,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1975,703,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1976,1694,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1977,1054,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1978,6743,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1979,4557,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1980,37,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1981,163,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1982,9,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1983,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1984,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1985,9,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1986,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1987,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1988,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1989,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1990,123,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1991,156,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1992,150,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1993,184,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1994,516,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1995,405,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1996,1376,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1997,560,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1998,1353,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,1999,720,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2000,879,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2001,4971,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2002,7896,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2003,13943,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2004,4711,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2005,3303,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2006,5752,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2007,1149,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2008,1725,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2009,539,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2010,2139,0.13
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2011,1608,0.21
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2012,908,0.24
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2013,2283,0.42
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,2014,745,0.5
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1996,437,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1997,27,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1998,257,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,1999,1,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2000,1,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2001,3646,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2002,6113,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2003,4165,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2004,2145,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2005,2901,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2006,1782,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2007,1325,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2008,1845,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2009,7491,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2010,10142,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2011,14182,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2012,6143,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,2013,7366,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1964,774,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1965,83,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1966,862,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1967,228,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1968,254,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1969,29,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1970,51,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1971,1801,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1972,1190,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1973,472,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1974,481,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1975,556,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1976,549,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1977,922,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1978,1322,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1979,884,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1980,355,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1981,197,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1982,361,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1983,442,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1984,126,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1985,168,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1986,403,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1987,776,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1988,1206,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1989,112,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1990,11,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1991,52,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1992,54,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1993,0,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1994,11,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1995,4,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1996,166,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1997,148,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1998,202,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,1999,126,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2000,12,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2001,407,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2002,365,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2003,1499,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2004,754,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2005,452,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2006,235,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2007,263,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2008,181,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2009,343,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2011,1815,0.32
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1977,1652,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1978,593,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1979,2388,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1980,3437,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1981,1841,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1982,330,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1983,2677,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1984,1217,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1985,1983,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1986,1589,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1987,3578,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1988,3135,0.46
