"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2002","298","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2003","460","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2004","722","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2005","370","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2006","372","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2007","384","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2008","722","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2009","602","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2010","528","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2011","408","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2012","256","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2013","622","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2014","496","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2015","940","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2016","886","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2017","294","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2018","474","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","227","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Winter","Coweeman River","2019","354","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1987-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCsthd2020","Steelhead (Lower Columbia River DPS)","Steelhead","Survey","Cascade winter","238","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Winter","North Fork Toutle River","2005","222","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2005-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
